,English,Greek
0,How I feel today legday jelly aching gym,Πώς νιώθω σήμερα legday jelly aching gym
1,grattis min griskulting!!!???? va bara tvungen oki s? sch ? pig happybday wow lovely cut¡­,συγχαρητήρια γουρουνοπούλα μου!!!???? απλά αναγκάστηκες εντάξει; σσς; γουρουνάκι happybday ουάου υπέροχο κόψιμο¡
2,The moment I found my favourite tV character. PROFOUNDLOVE,Η στιγμή που βρήκα τον αγαπημένο μου τηλεοπτικό χαρακτήρα. ΠΡΟΦΟΥΝΤΛΟΒ
3,escort We have a young and energetic team and we pride ourselves on offering the highes hoer,Συνοδός Έχουμε μια νεανική και ενεργητική ομάδα και είμαστε περήφανοι που προσφέρουμε τα υψηλά επίπεδα
4,"Went to SSC today to be a ""movie star"" to rep for the Deaf and got to meet an energetic great guy: Mark White!","Πήγα στο SSC σήμερα για να γίνω ""αστέρας του κινηματογράφου"" για να αντιπροσωπεύσω τους Κωφούς και γνώρισα έναν ενεργητικό εξαιρετικό τύπο: τον Mark White!"
5,"""that was really energetic""","""Ήταν πραγματικά ενεργητικό"""
6,"To my most hard working,fun loving and energetic team...Thank you and I love you!","Στην πιο εργατική, διασκεδαστική και γεμάτη ενέργεια ομάδα μου... Σας ευχαριστώ και σας αγαπώ!"
7,Energetic training today with our San Antonio New Dollars/New Partners trainees,Δυναμική προπόνηση σήμερα με τους εκπαιδευόμενους San Antonio New Dollars/New Partners
8,Look at their Photo and feel the Anger. SpeakUp for peace. Speak up for equality. Speak up for Tolerance.,Κοιτάξτε τη φωτογραφία τους και νιώστε τον θυμό. SpeakUp για την ειρήνη. Μιλήστε για ισότητα. Μιλήστε για την Ανοχή.
9,absolute disgrace two carriages from Bangor half way there standing room only disgraced,απόλυτη ντροπή δύο άμαξες από το Μπάνγκορ στα μισά του δρόμου εκεί όρθιο δωμάτιο μόνο ντροπιασμένο
10,"So proud of these kids! Not only talented, ENERGETIC and hardworking, but respectful and kind-hearted! ??","Τόσο περήφανοι για αυτά τα παιδιά! Όχι μόνο ταλαντούχοι, ΕΝΕΡΓΗΤΙΚΟΣ και εργατικός, αλλά με σεβασμό και καλόκαρδος! ??"
11,What does everybody think of these candles from Liberty London. We love! RT if you feel the same Valentinesday,Τι πιστεύουν όλοι για αυτά τα κεριά από το Liberty London. Αγαπάμε! RT αν νιώθεις την ίδια ημέρα του Αγίου Βαλεντίνου
12,I cannot even tell you guys how much I love these covers ? invaded alienated prettycovers,Δεν μπορώ καν να σας πω παιδιά πόσο μου αρέσουν αυτά τα εξώφυλλα; εισέβαλαν αλλοτριωμένα όμορφα εξώφυλλα
13,"An energetic tells us all about his sister - ""the most evil bumface in the world'!! WayWord Chester ht¡­","Ένας ενεργητικός μας λέει τα πάντα για την αδερφή του - ""η πιο κακιά μπαμ στον κόσμο""!! WayWord Chester ht¡"
14,Awesome record. Keepin the night energetic ??,Φοβερό ρεκόρ. Διατηρήστε τη νύχτα γεμάτη ενέργεια ??
15,You are a manifestation of energetic potential. truth quote DivineSociety,Είστε μια εκδήλωση ενεργειακών δυνατοτήτων. απόσπασμα αλήθειας DivineSociety
16,"Love to party? We are hiring fun, outgoing, energetic & happy people. Call or visit us to learn more.","Αγαπάτε το πάρτι; Προσλαμβάνουμε διασκεδαστικούς, εξωστρεφείς, ενεργητικούς και χαρούμενους ανθρώπους. Καλέστε μας ή επισκεφτείτε μας για να μάθετε περισσότερα."
17,when a girl texts you first and then ignores your reply,όταν μια κοπέλα σου στέλνει μήνυμα πρώτα και μετά αγνοεί την απάντησή σου
18,depressed depression bullied anxiety overdosed addict drugs pills cuts cutting ¡­,καταθλιπτική κατάθλιψη εκφοβισμός άγχος υπερβολική δόση εθισμένος ναρκωτικά χάπια κόβει κόψιμο ¡
19,Winners will be chosen in 1 week.,Οι νικητές θα αναδειχθούν σε 1 εβδομάδα.
20,Thank you to Eastwood 8th grader Sam L. for helping hang 7th grade SafeDates Valentines Day cards. Caring,"Ευχαριστούμε τον μαθητή της 8ης τάξης του Eastwood, Sam L., που βοήθησε να αναρτηθούν οι κάρτες SafeDates για την Ημέρα του Αγίου Βαλεντίνου της 7ης τάξης. Φροντίδα"
21,Enraged by this? Then spread awareness! Loyalty...betrayed... StopYulin2015,"Θυμωμένος με αυτό; Στη συνέχεια, διαδώστε ευαισθητοποίηση! Πιστότητα...προδομένη... StopYulin2015"
22,I am enthusiastic about Gleeeeeeeeeeeeeeeeeeee????,Είμαι ενθουσιώδης με το Gleeeeeeeeeeeeeeeeeeeee;;;;
23,Looking forward to Disgraced by Ayad Akhtar! Monday and tuesday are already sold out!,Ανυπομονώ για το Disgraced by Ayad Akhtar! Δευτέρα και Τρίτη είναι ήδη sold out!
